name,latitude,longitude
"Gema Recycling Services, Inc.",18.422298,-66.2303479
Caribbean All Metal Recyclers Corp,18.376485,-66.003535
IFCO Recycling Inc.,18.4157194,-66.1801342
Centro de Reciclaje,18.4118966,-66.0705879
Moncho Metals,18.4464551,-66.0801929
Reciclaje del Norte de Santurce,18.4364235,-66.042469
Isla Bonita Metals,18.3799189,-65.9376589
Homeca Recycling,18.2119178,-66.0009155
Recicla & Transforma,18.250685,-66.3036586
Centro De Acopio Cidra,18.1972888,-66.1133727
Centro de Depósito Comunitario de Reciclaje,18.2633392,-66.0343952
Recicla PR,18.3746965,-66.1421476
Centro de Reciclaje,18.4118966,-66.0705879
Martín Peña Recicla,18.4338438,-66.0537228
Gema Recycling,18.422298,-66.2303479
Programa de Reciclaje Centro de Deposito Comunitario,18.006374,-66.64767
WR Recycling Inc,18.0883938,-67.1396941
Homeca Recycling,18.1367666,-67.1346533
Centro de Acopio de Reciclaje,18.1833937,-66.9652376
Centro Acopio Reciclaje Municipal,18.1760421,-67.14331
Oil Energy System,18.2101466,-67.1525202
Global Recycling,18.297199,-67.0331448
Programa de Reciclaje Añasco,18.2895507,-67.1406665
Crist & John Recycler,18.3752212,-67.1927879
Perez Metal,18.3724026,-67.0756184
RG RECYCLING CORP,18.3569371,-67.0394346
Centro de Reciclaje Yauco,18.0335906,-66.8543004
Hcs,18.088908,-67.1350483
Caribbean All Metal Recyclers Corp,18.376485,-66.003535
Moncho Metals,18.4464593,-66.0801919
Isla Bonita Metals,18.3799218,-65.9376549
Reciclaje Del Norte,18.4361837,-66.7217257
Betterecycling,18.4195025,-66.70168
Reciclaje Municipal,18.4774286,-66.9386445
Reciclaje de Arecibo,18.4390437,-66.6857131
Reciclaje del Norte RDN,18.4595118,-66.7488627
JH Recycling,18.4530934,-66.9024763
RG RECYCLING CORP,18.356937,-67.0394346
True Waste Oil Recycling Inc,18.4622425,-67.0262776
Global Recycling,18.297199,-67.0331448
D&N metal recycling,18.4337282,-66.548917
Reciclaje de Arecibo,18.4390437,-66.6857131
International World Recycling Corp.,18.4414517,-66.3573992
La Virgencita Recycling,18.4105007,-66.2559602
COQUI RECYCLING COMPANY,18.4223951,-66.2520829
Taller de Reciclaje de Metales Inc.",18.4497292,-66.3763983
Contenedores - PR Textile Recycling,18.3625803,-66.1862808
Allied Waste Services,17.95906,-66.2376875
Vivero Isla Nena,18.1190838,-65.4253198
Recycling Station,18.11322,-65.5473592
PF Fajardo,18.2954644,-65.6530231
Oficina de Reciclaje,18.4314958,-65.8384929
Oficina de Reciclaje Loiza,18.423808,-65.8374405
Schnitzer Steel Puerto Rico,18.3865918,-65.8781758